,purchasenumber,purchaseobjectinfo,responsibleorg_regnum,responsibleorg_fullname,responsibleorg_postaddress,responsibleorg_factaddress,responsibleorg_inn,responsiblerole,max_price,final_price,execution_period,ratio_final_to_reserve_price,month_year,zip_code
4822,173100013121000032,"Поставка канцелярских принадлежностей из бумаги для нужд центрального аппарата Федеральной службы по экологическом, технологическому и атомному надзору",1731000131,"ФЕДЕРАЛЬНАЯ СЛУЖБА ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ","Российская Федерация, 105066, г. Москва, ул. А.Лукьянова, д. 4, стр. 1","Российская Федерация, 109147, Москва, УЛИЦА ТАГАНСКАЯ, ДОМ 34/СТРОЕН 1",7709561778,CU,440648.33,2054915.43,395.0,4.663390940344651,2021-09,105066
4866,173100013221000032,"Оказание услуг по техническому обслуживанию и текущему ремонту инженерных систем и оборудования зданий и помещений УВД по Зеленоградскому АО ГУ МВД России по г. Москве, аварийному обслуживанию, оказание услуг по ремонту (замене) дверных замков, петель, ручек, доводчиков в 2022 году",1731000132,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ПО ЗЕЛЕНОГРАДСКОМУ АДМИНИСТРАТИВНОМУ ОКРУГУ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,"Российская Федерация, 124575, Москва, Зеленоград г, ул ПАНФИЛОВА, 28 А","Российская Федерация, 124575, Москва, Зеленоград г, УЛИЦА ПАНФИЛОВА, ДОМ 28 А",7735059596,CU,868000.0,14424070.74,729.0,16.61759301843318,2021-12,124575
4897,173100013421000032,Оказание услуг по уборке помещений ,1731000134,ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА ЮСТИЦИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО МОСКВЕ,"Российская Федерация, 117218, Москва, УЛИЦА КРЖИЖАНОВСКОГО, 13/1","Российская Федерация, 117218, Москва, УЛИЦА КРЖИЖАНОВСКОГО, 13/1",7733664260,CU,4000000.0,269485.95,195.0,0.06737148750000001,2021-12,117218
5032,173100014121000032,Поставка канцелярской продукции,1731000141,ГЕНЕРАЛЬНАЯ ПРОКУРАТУРА РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1","Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1",7710146102,CU,211900.0,129601375.0,578.0,611.6157385559226,2021-07,125993
5057,173100014121000064,Услуги по эксплуатационно-техническому обслуживанию инженерных систем и строительных конструкций зданий (помещений) Генеральной прокуратуры Российской Федерации,1731000141,ГЕНЕРАЛЬНАЯ ПРОКУРАТУРА РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1","Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1",7710146102,CU,62143717.44,3768000.0,395.0,0.06063364335482535,2021-09,125993
5089,173100014121000096,Поставка предметов наградного фонда,1731000141,ГЕНЕРАЛЬНАЯ ПРОКУРАТУРА РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1","Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1",7710146102,CU,768000.0,322932.01,364.0,0.4204843880208333,2021-11,125993
5118,173100014121000128,Оказание услуг технической поддержки функционала систем внешнего информационного взаимодействия Генеральной прокуратуры Российской Федерации ,1731000141,ГЕНЕРАЛЬНАЯ ПРОКУРАТУРА РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1","Российская Федерация, 125993, Москва, УЛИЦА ДМИТРОВКА Б., 15А/1",7710146102,CU,84519784.42,9850000.0,395.0,0.11654076104895016,2021-12,125993
5159,173100014720000224,"Оказание услуг по диагностике, техническому обслуживанию и ремонту автотранспортных средств ",1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,24876050.0,4000000.0,423.0,0.1607972326796256,2020-12,105005
5203,173100014721000032,"Оказание услуг по техническому обслуживанию технических средств охраны, установленных в административных зданиях и помещениях Следственного комитета Российской Федерации",1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,247860.0,843851.0,178.0,3.404546921649318,2021-05,105005
5234,173100014721000064,Поставка ноутбуков для нужд Следственного комитета Российской Федерации,1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,900000.0,16094454.66,112.0,17.8827274,2021-08,105005
5266,173100014721000096,Поставка картриджей и расходных материалов для организационной техники для нужд федерального государственного казенного учреждения «Судебно-экспертный центр Следственного комитета Российской Федерации»,1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,724322.5,9010186.33,84.0,12.439467681868228,2021-11,105005
5298,173100014721000128,Поставка ноутбуков для нужд Следственного комитета Российской Федерации,1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,990000.0,990000.0,73.0,1.0,2021-11,105005
5328,173100014721000160,"Поставка вещевого имущества личного пользования для обучающихся общеобразовательных организаций, находящихся в ведении Следственного комитета Российской Федерации",1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,1887859.2,6916629.0,119.0,3.6637419782153247,2021-12,105005
5359,173100014721000192,"Оказание услуг по шиномонтажу и ремонту автомобильных шин и дисков, диагностике, техническому обслуживанию и ремонту служебных автомобилей марки «Фольксваген» для обеспечения нужд центрального аппарата Следственного комитета Российской Федерации",1731000147,СЛЕДСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2","Российская Федерация, 105005, Москва, ПЕРЕУЛОК ТЕХНИЧЕСКИЙ, 2",7701903677,CU,2057860.0,1887859.2,341.0,0.9173895211530425,2021-12,105005
5412,173100014821000032,На оказание услуг по техническому обслуживанию и ремонту хромато-масс-спектрометрических систем для нужд ЭКЦ УТ МВД России по ЦФО в рамках государственного оборонного заказа на 2021 год,1731000148,УПРАВЛЕНИЕ НА ТРАНСПОРТЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЦЕНТРАЛЬНОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ,"Российская Федерация, 107140, Москва, УЛИЦА ЛЕСНОРЯДСКАЯ, 11/13","Российская Федерация, 107140, Москва, УЛИЦА ЛЕСНОРЯДСКАЯ, 11/13",7708731561,CU,705900.0,8000000.0,717.0,11.333050007083155,2021-10,107140
5436,173100014920000064,Закупка телефонных аппаратов.,1731000149,МОСКОВСКАЯ ОБЛАСТНАЯ ТАМОЖНЯ,"Российская Федерация, 124498, Москва, Зеленоград г, ПРОСПЕКТ ГЕОРГИЕВСКИЙ, ДОМ 9","Российская Федерация, 124498, Москва, Зеленоград г, ПРОСПЕКТ ГЕОРГИЕВСКИЙ, ДОМ 9",7735573025,CU,700000.0,1250708.88,766.0,1.7867269714285712,2020-12,124498
5465,173100014921000032,антисептик для рук,1731000149,МОСКОВСКАЯ ОБЛАСТНАЯ ТАМОЖНЯ,"Российская Федерация, 124498, Москва, Зеленоград г, ПРОСПЕКТ ГЕОРГИЕВСКИЙ, ДОМ 9","Российская Федерация, 124498, Москва, Зеленоград г, ПРОСПЕКТ ГЕОРГИЕВСКИЙ, ДОМ 9",7735573025,CU,603000.0,4776196.58,556.0,7.920724013266998,2021-08,124498
5568,173100017120000032,Автоматизированное рабочее место следователя-криминалиста,1731000171,ГЛАВНОЕ ВОЕННОЕ СЛЕДСТВЕННОЕ УПРАВЛЕНИЕ СЛЕДСТВЕННОГО КОМИТЕТА РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 119021, Москва, ПЕР ХОЛЬЗУНОВА, 14","Российская Федерация, 119021, Москва, ПЕР ХОЛЬЗУНОВА, 14",7704776890,CU,16653669.0,7186853.94,364.0,0.4315477832542487,2020-12,119021
5620,173100017321000032,Поставка офисной мебели,1731000173,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ НА МОСКОВСКОМ МЕТРОПОЛИТЕНЕ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,"Российская Федерация, 107045, Москва, ПЕРЕУЛОК КОЛОКОЛЬНИКОВ, ДОМ 5/СТРОЕНИЕ 1","Российская Федерация, 107045, Москва, ПЕРЕУЛОК КОЛОКОЛЬНИКОВ, ДОМ 5/СТРОЕНИЕ 1",7702834176,CU,5999999.63,999600.84,22.0,0.16660015027367592,2021-08,107045
5695,173200000221000032,"Поставка в 2021 году подъемников (и комплектующих) для перемещения инвалидов и их установку в квартирах, где проживают дети-инвалиды с тяжелыми ограничениями жизнедеятельности",1732000002,ДЕПАРТАМЕНТ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,"Российская Федерация, 107078, Москва, ул. Новая Басманная, д. 10, стр. 1","Российская Федерация, 107078, Москва, УЛИЦА НОВАЯ БАСМАННАЯ, 10/СТР.1",7704253064,CU,9702433.76,995000.0,197.0,0.10255158907675965,2021-03,107078
5715,173200000221000096,"Выполнение работ по сохранению выявленного объекта культурного наследия по адресу: г. Москва, ул. Новая Басманная, д. 10, стр. 1",1732000002,ДЕПАРТАМЕНТ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,"Российская Федерация, 107078, Москва, ул. Новая Басманная, д. 10, стр. 1","Российская Федерация, 107078, Москва, УЛИЦА НОВАЯ БАСМАННАЯ, 10/СТР.1",7704253064,CU,2973762.6,11913900.0,418.0,4.0063386364466345,2021-09,107078
5728,173200000221000128,Оказание услуг по обеспечению грязезащитными ковриками,1732000002,ДЕПАРТАМЕНТ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,"Российская Федерация, 107078, Москва, ул. Новая Басманная, д. 10, стр. 1","Российская Федерация, 107078, Москва, УЛИЦА НОВАЯ БАСМАННАЯ, 10/СТР.1",7704253064,CU,1389433.5,2382590.0,333.0,1.714792395605835,2021-12,107078
5761,173200000520000064,Аукцион в электронной форме на поставку дезинфицирующих средств для нужд Департамента здравоохранения города Москвы,1732000005,ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,"Российская Федерация, 127006, Москва, ПЕРЕУЛОК ОРУЖЕЙНЫЙ, 43/-, -","Российская Федерация, 127006, Москва, ПЕРЕУЛОК ОРУЖЕЙНЫЙ, 43/-, -",7707089084,CU,401156.0,787300.49,578.0,1.9625793706189114,2020-12,127006
5794,173200000521000032,Аукцион в электронной форме на оказание услуг по обслуживанию гардероба в здании Департамента здравоохранения города Москвы в 2022 году,1732000005,ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,"Российская Федерация, 127006, Москва, ПЕРЕУЛОК ОРУЖЕЙНЫЙ, 43/-, -","Российская Федерация, 127006, Москва, ПЕРЕУЛОК ОРУЖЕЙНЫЙ, 43/-, -",7707089084,CU,361666.67,369634.22,364.0,1.0220300919628562,2021-12,127006
5809,173200001020000032,Услуги мобильной связи в 2021 году,1732000010,ОБЪЕДИНЕНИЕ АДМИНИСТРАТИВНО-ТЕХНИЧЕСКИХ ИНСПЕКЦИЙ ГОРОДА МОСКВЫ,"Российская Федерация, 121099, Москва, ул. Новый Арбат, дом 36","Российская Федерация, 121099, Москва, УЛИЦА НОВЫЙ АРБАТ, ДОМ 36",7709083955,CU,845852.16,563253.14,364.0,0.6659002206721326,2020-12,121099
5839,173200001021000032,"Оказание услуг по экстренному прибытию группы мобильного реагирования на объекты в случае срабатывания средств охранной, пожарной сигнализаций, тревожной кнопки пультовой охраны на 2022-2023 гг.",1732000010,ОБЪЕДИНЕНИЕ АДМИНИСТРАТИВНО-ТЕХНИЧЕСКИХ ИНСПЕКЦИЙ ГОРОДА МОСКВЫ,"Российская Федерация, 121099, Москва, ул. Новый Арбат, дом 36","Российская Федерация, 121099, Москва, УЛИЦА НОВЫЙ АРБАТ, ДОМ 36",7709083955,CU,1840860.0,1472687.7,639.0,0.7999998370326912,2021-12,121099
5895,173200001221000032,Поставка высокоточного геодезического оборудования,1732000012,ГОСУДАРСТВЕННАЯ ИНСПЕКЦИЯ ПО КОНТРОЛЮ ЗА ИСПОЛЬЗОВАНИЕМ ОБЪЕКТОВ НЕДВИЖИМОСТИ ГОРОДА МОСКВЫ,"Российская Федерация, 101000, Москва, ПРОЕЗД ЛУБЯНСКИЙ, 3/6/СТР.6","Российская Федерация, 101000, Москва, ПРОЕЗД ЛУБЯНСКИЙ, 3/6/СТР.6",7701679961,RA,778826.64,1201495.66,913.0,1.542699746377448,2021-03,101000
5922,173200001221000064,"Выполнение работ по сносу (демонтажу) зданий, строений, сооружений (их частей)",1732000012,ГОСУДАРСТВЕННАЯ ИНСПЕКЦИЯ ПО КОНТРОЛЮ ЗА ИСПОЛЬЗОВАНИЕМ ОБЪЕКТОВ НЕДВИЖИМОСТИ ГОРОДА МОСКВЫ,"Российская Федерация, 101000, Москва, ПРОЕЗД ЛУБЯНСКИЙ, 3/6/СТР.6","Российская Федерация, 101000, Москва, ПРОЕЗД ЛУБЯНСКИЙ, 3/6/СТР.6",7701679961,CU,5987924.62,4000000.0,591.0,0.6680110812751012,2021-04,101000
5954,173200001221000096,Поставка плоттера формата А0+,1732000012,ГОСУДАРСТВЕННАЯ ИНСПЕКЦИЯ ПО КОНТРОЛЮ ЗА ИСПОЛЬЗОВАНИЕМ ОБЪЕКТОВ НЕДВИЖИМОСТИ ГОРОДА МОСКВЫ,"Российская Федерация, 101000, Москва, ПРОЕЗД ЛУБЯНСКИЙ, 3/6/СТР.6","Российская Федерация, 101000, Москва, ПРОЕЗД ЛУБЯНСКИЙ, 3/6/СТР.6",7701679961,RA,313921.34,779000.0,42.0,2.481513362551268,2021-11,101000
5992,173200001321000032,Оказание услуг по модернизации электронной системы управления очередью,1732000013,ГОСУДАРСТВЕННАЯ ЖИЛИЩНАЯ ИНСПЕКЦИЯ ГОРОДА МОСКВЫ,"129090, Москва Город, Мира Проспект, дом 19","Российская Федерация, 129226, Москва, ПРОСПЕКТ МИРА, 19",7702051094,CU,925000.0,666624.92,364.0,0.7206755891891893,2021-09,129090
6034,173200001420001696,Оказание услуг по аренде автомобилей легковых с водителем (СЗ-А-35-20),1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,ORA,39482895.64,1395477.63,729.0,0.035343852252473745,2020-12,107045
6062,173200001420001728,Оказание услуг по аренде автомобилей легковых с водителем (СЗ-А-41-20),1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,ORA,9500982.48,294119394.24,578.0,30.956734722870472,2020-12,107045
6089,173200001420001760,"Оказание услуг, связанных с осуществлением регулярных перевозок по регулируемым тарифам",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,1314217996.25,1828146.0,729.0,0.0013910523255779835,2021-01,107045
6116,173200001420001792,"Аукцион в электронной форме на право заключения контракта на поставку лекарственных препаратов (Ибрутиниб) для обеспечения граждан, имеющих право на получение государственной социальной помощи в городе Москве (УНЗ Z211389)",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,323554499.1,77000000.0,556.0,0.23798154627484205,2020-12,107045
6139,173200001420001824,"Аукцион в электронной форме на право заключения контракта на поставку лекарственных препаратов (Клозапин) для обеспечения граждан, имеющих право на получение государственной социальной помощи в городе Москве (УНЗ Z211690 - повторная закупка)",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,92569215.5,187933332.0,422.0,2.030192553592506,2020-12,107045
6217,173200001420001952,Поставка оборудования Службы централизации и блокировки,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,54412742.54,126276397.25,364.0,2.3207137033604113,2020-12,107045
6231,173200001420001984,"Выполнение строительно-монтажных работ по капитальному ремонту здания по адресу: г. Москва, Плетешковский пер., д.19, стр.9",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,10027723.188253809,129800000.0,458.0,179710.67578401256,2020-12,107045
6258,173200001421000032,выполнение работ по ремонту дворовых территорий в 2021 году за счет средств стимулирования управы района Нагатино-Садовники.,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,64739045.82,225000000.0,655.0,3.475491446469391,2021-01,107045
6285,173200001421000064,"Аукцион в электронной форме на право заключения контракта на поставку лекарственных препаратов (Ривароксабан) для обеспечения граждан, в соответствии с постановлением Правительства Москвы от 22.10.2019 № 1372-ПП ""О гарантиях дополнительного лекарственного обеспечения лицам, больным сердечно-сосудистыми заболеваниями"" (УНЗ Z212105)",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,50357769.0,350000000.0,655.0,6.950268189998647,2021-02,107045
6309,173200001421000096,"Аукцион в электронной форме на право заключения контракта на поставку лекарственных препаратов (Гразопревир+Элбасвир) для обеспечения граждан, страдающих хроническим вирусным гепатитом С, не имеющих право на получение государственной социальной помощи в городе Москве (УНЗ Z212694)",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,202362160.0,60204400.33,435.0,0.2975081918971412,2021-02,107045
6344,173200001421000160,Поставка специальных транспортных средств для перевозки лошадей,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,158973002.73,13479668.92,651.0,0.08479218916745186,2021-03,107045
6367,173200001421000192,Оказание услуг по привозу водопроводной (проточной) воды и вывозу (откачке) жидких бытовых отходов для нужд межрегиональных ярмарок и фестивальных площадок,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,92668688.06,12279979702.8,900.0,132.5148759508617,2021-02,107045
6393,173200001421000224,Выполнение работ по ремонту дворовых территорий района Митино,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,157740017.75,401630890.0,127.0,2.5461572512090074,2021-03,107045
6422,173200001421000256,"Оказание услуг по сервисному обслуживанию автоматов продажи билетов ГУП ""Мосгортранс"" для нужд филиала Служба доходов и контроля ГУП ""Мосгортранс""",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,154312554.24,5151378751.26,1721.0,33.3827586266775,2021-03,105062
6449,173200001421000288,Выполнение работ по ремонту территорий объектов образования Северного административного округа в 2021 году,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 107045, г. Москва, Печатников пер. , д.12","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,ORA,469052145.3,1370174.35,729.0,0.0029211557046043427,2021-03,107045
6473,173200001421000320,"Оказание услуг, связанных с осуществлением регулярных перевозок по регулируемым тарифам",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,475322432.66,7634337495.59,2740.0,16.061386905025103,2021-04,105062
6524,173200001421000384,"Оказание транспортных услуг по организованной перевозке группы детей автобусами желтого цвета, соответствующими ГОСТ 33552-2015, для образовательных организаций, подведомственных Департаменту образования и науки города Москвы, расположенных в Троицком и Новомосковском административном округе, в 2021-2022 годах",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,75383355.0,143024366.7,798.0,1.8972937288344356,2021-03,105062
6549,173200001421000416,Выполнение работ по ремонту территории  Дмитровского района за счет средств стимулирования управ районов в 2021 году,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,60904237.48,23462878.76,760.0,0.38524213964102,2021-03,105062
6579,173200001421000448,Выполнение ремонтно-восстановительных работ на объектах района Южное Бутово за счет средств стимулирования Управ районов в 2021 году.,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,52800261.98,12900000.0,917.0,0.2443169695803089,2021-03,105062
6607,173200001421000480,"Оказание услуг по обслуживанию инженерных систем зданий образовательных организаций, подведомственных Департаменту образования и науки города Москвы в 2021-2023 гг. (совместная закупка)",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,ORA,97258965.83,2878167.37,609.0,0.029592823092842464,2021-03,105062
6635,173200001421000512,Выполнение работ по устройству некапитальных строений в парке «Гольяново» и ул. Уссурийская.,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,51172500.0,135842759.0,241.0,2.6546046997899264,2021-03,105062
6688,173200001421000576,Аукцион в электронной форме на право заключения контракта на оказание услуг по техническому обслуживанию и/или текущему ремонту грузовых автомобилей и спецтехники,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,97000000.0,88025947.92,962.0,0.9074839991752578,2021-04,105062
6710,173200001421000608,"Поставка запасных частей для автомобилей, тракторов и самоходной техники ГБУ ""Автомобильные дороги ЦАО""",1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,96000000.0,10500000.0,919.0,0.109375,2021-04,105062
6733,173200001421000640,Аукцион в электронной форме на право заключения контракта на поставку запасных частей и расходных материалов для ремонта и технического обслуживания автомобильной техники ГБУ «Автомобильные дороги» на 2021-2022гг.,1732000014,ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ,"Российская Федерация, 105062, Москва, Макаренко, 4/1","Российская Федерация, 105062, Москва, Макаренко, 4/1",7704515009,RA,490000000.0,273525734.46,210.0,0.5582157846122449,2021-04,105062
